"","cps19_age","cps19_gender","cps19_education","pes19_votechoice2019"
"1",50,"A woman","Some technical, community college, CEGEP, College Classique","Another party (specify)"
"2",72,"A woman","Bachelor's degree","NDP"
"3",28,"A woman","Master's degree","Liberal Party"
"4",59,"A man","Bachelor's degree","Conservative Party"
"5",63,"A man","Professional degree or doctorate","NDP"
"6",29,"A woman","Bachelor's degree","Liberal Party"
"7",65,"A man","Bachelor's degree","Conservative Party"
"8",42,"A man","Bachelor's degree","NDP"
"9",32,"A man","Bachelor's degree","Liberal Party"
"10",37,"A man","Completed secondary/ high school","Conservative Party"
"11",68,"A woman","Bachelor's degree","NDP"
"12",63,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"13",64,"A woman","Bachelor's degree","Liberal Party"
"14",64,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"15",56,"A man","Some technical, community college, CEGEP, College Classique","I spoiled my vote"
"16",63,"A man","Bachelor's degree","Conservative Party"
"17",38,"A woman","Master's degree","Conservative Party"
"18",57,"A man","Completed technical, community college, CEGEP, College Classique","Green Party"
"19",68,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"20",67,"A man","Bachelor's degree","Conservative Party"
"21",28,"A man","Bachelor's degree","Liberal Party"
"22",69,"A woman","Some secondary/ high school","Conservative Party"
"23",54,"A woman","Bachelor's degree","Liberal Party"
"24",34,"A woman","Bachelor's degree","Conservative Party"
"25",66,"A woman","Some technical, community college, CEGEP, College Classique","Conservative Party"
"26",48,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"27",53,"A woman","Completed secondary/ high school","Don't know / Prefer not to answer"
"28",68,"A man","Some university","Liberal Party"
"29",35,"A woman","Completed technical, community college, CEGEP, College Classique","NDP"
"30",56,"A man","Bachelor's degree","Conservative Party"
"31",28,"A woman","Bachelor's degree","Conservative Party"
"32",50,"A man","Completed technical, community college, CEGEP, College Classique","Green Party"
"33",74,"A man","Some university","Liberal Party"
"34",54,"A woman","Master's degree","Liberal Party"
"35",63,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"36",67,"A man","Bachelor's degree","Conservative Party"
"37",72,"A man","Completed secondary/ high school","NDP"
"38",60,"A woman","Professional degree or doctorate","Liberal Party"
"39",81,"A man","Master's degree","Conservative Party"
"40",39,"A woman","Completed technical, community college, CEGEP, College Classique","Don't know / Prefer not to answer"
"41",63,"A man","Some university","Conservative Party"
"42",99,"A woman","Bachelor's degree","Green Party"
"43",81,"A man","Some secondary/ high school","Conservative Party"
"44",49,"A woman","Bachelor's degree","Liberal Party"
"45",81,"A man","Some university","Conservative Party"
"46",66,"A man","Don't know/ Prefer not to answer","NDP"
"47",73,"A man","Some university","Liberal Party"
"48",53,"A woman","Bachelor's degree","Liberal Party"
"49",57,"A man","Completed secondary/ high school","Liberal Party"
"50",69,"A man","Completed secondary/ high school","NDP"
"51",80,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"52",25,"A man","Bachelor's degree","Liberal Party"
"53",60,"A woman","Completed secondary/ high school","Liberal Party"
"54",19,"A woman","Completed secondary/ high school","Liberal Party"
"55",26,"A woman","Bachelor's degree","Liberal Party"
"56",57,"A man","Bachelor's degree","Green Party"
"57",66,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"58",43,"A man","Bachelor's degree","NDP"
"59",58,"A man","Completed technical, community college, CEGEP, College Classique","NDP"
"60",74,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"61",36,"A man","Completed secondary/ high school","Liberal Party"
"62",42,"A man","Bachelor's degree","Liberal Party"
"63",77,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"64",60,"A man","Bachelor's degree","Liberal Party"
"65",64,"A man","Bachelor's degree","Conservative Party"
"66",68,"A woman","Some secondary/ high school","Liberal Party"
"67",40,"A woman","Master's degree","Conservative Party"
"68",78,"A woman","Master's degree","Green Party"
"69",39,"A man","Bachelor's degree","Conservative Party"
"70",68,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Completed secondary/ high school","Conservative Party"
"71",70,"A man","Completed technical, community college, CEGEP, College Classique","NDP"
"72",67,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"73",43,"A man","Completed secondary/ high school","NDP"
"74",41,"A man","Some technical, community college, CEGEP, College Classique","Green Party"
"75",34,"A man","Completed secondary/ high school","Green Party"
"76",74,"A woman","Completed secondary/ high school","Conservative Party"
"77",71,"A man","Bachelor's degree","Liberal Party"
"78",73,"A man","Bachelor's degree","Liberal Party"
"79",56,"A man","Completed technical, community college, CEGEP, College Classique","Green Party"
"80",59,"A man","Completed technical, community college, CEGEP, College Classique","Don't know / Prefer not to answer"
"81",63,"A woman","Bachelor's degree","Liberal Party"
"82",67,"A man","Some technical, community college, CEGEP, College Classique","NDP"
"83",72,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"84",53,"A man","Completed secondary/ high school","Conservative Party"
"85",59,"A man","Bachelor's degree","Liberal Party"
"86",69,"A woman","Some university","Liberal Party"
"87",83,"A woman","Some university","Liberal Party"
"88",50,"A woman","Master's degree","NDP"
"89",73,"A woman","Some technical, community college, CEGEP, College Classique","Conservative Party"
"90",79,"A man","Completed secondary/ high school","Liberal Party"
"91",70,"A woman","Bachelor's degree","Liberal Party"
"92",99,"A woman","Professional degree or doctorate","Liberal Party"
"93",64,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"94",39,"A woman","Bachelor's degree","Liberal Party"
"95",73,"A man","Professional degree or doctorate","Liberal Party"
"96",56,"A woman","Bachelor's degree","Conservative Party"
"97",63,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"98",61,"A woman","Master's degree","NDP"
"99",61,"A woman","Professional degree or doctorate","Liberal Party"
"100",68,"A woman","Completed secondary/ high school","Liberal Party"
"101",39,"A man","Completed technical, community college, CEGEP, College Classique","NDP"
"102",38,"A woman","Completed secondary/ high school","Conservative Party"
"103",54,"A woman","Bachelor's degree","Conservative Party"
"104",61,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"105",51,"A man","Completed technical, community college, CEGEP, College Classique","Don't know / Prefer not to answer"
"106",56,"A woman","Some university","Don't know / Prefer not to answer"
"107",52,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"108",65,"A man","Completed technical, community college, CEGEP, College Classique","NDP"
"109",48,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"110",82,"A woman","Completed secondary/ high school","Conservative Party"
"111",52,"A woman","Bachelor's degree","Liberal Party"
"112",60,"A man","Master's degree","Green Party"
"113",61,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"114",56,"A woman","Master's degree","Liberal Party"
"115",54,"A man","Completed secondary/ high school","Liberal Party"
"116",49,"A woman","Completed secondary/ high school","Green Party"
"117",59,"A man","Some technical, community college, CEGEP, College Classique","Green Party"
"118",48,"A woman","Bachelor's degree","Liberal Party"
"119",72,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"120",19,"A woman","Completed secondary/ high school","Liberal Party"
"121",38,"A man","Master's degree","Conservative Party"
"122",44,"A man","Bachelor's degree","NDP"
"123",34,"A woman","Completed secondary/ high school","NDP"
"124",62,"A man","Some secondary/ high school","Conservative Party"
"125",48,"A man","Bachelor's degree","NDP"
"126",64,"A man","Some technical, community college, CEGEP, College Classique","NDP"
"127",32,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"128",75,"A woman","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"129",68,"A woman","Some university","Liberal Party"
"130",31,"A woman","Some university","Liberal Party"
"131",69,"A man","Bachelor's degree","NDP"
"132",61,"A man","Completed secondary/ high school","Conservative Party"
"133",81,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"134",68,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"135",69,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"136",34,"A man","Master's degree","Liberal Party"
"137",71,"A man","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"138",39,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"139",64,"A woman","Bachelor's degree","Liberal Party"
"140",56,"A woman","Bachelor's degree","Conservative Party"
"141",82,"A woman","Some university","Liberal Party"
"142",35,"A man","Bachelor's degree","Liberal Party"
"143",69,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"144",53,"A woman","Some technical, community college, CEGEP, College Classique","Green Party"
"145",45,"A man","Master's degree","Liberal Party"
"146",33,"A man","Professional degree or doctorate","Liberal Party"
"147",55,"A woman","Bachelor's degree","Liberal Party"
"148",35,"A woman","Bachelor's degree","Liberal Party"
"149",57,"A woman","Completed secondary/ high school","Liberal Party"
"150",55,"A woman","Completed technical, community college, CEGEP, College Classique","NDP"
"151",72,"A woman","Master's degree","Liberal Party"
"152",58,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"153",72,"A man","Master's degree","NDP"
"154",64,"A woman","Completed elementary school","NDP"
"155",78,"A man","Bachelor's degree","Liberal Party"
"156",76,"A woman","Completed secondary/ high school","Liberal Party"
"157",64,"A woman","Completed secondary/ high school","Conservative Party"
"158",71,"A man","Bachelor's degree","NDP"
"159",53,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"160",56,"A man","Bachelor's degree","Conservative Party"
"161",53,"A man","Master's degree","Conservative Party"
"162",70,"A woman","Completed secondary/ high school","Liberal Party"
"163",46,"A woman","Bachelor's degree","Liberal Party"
"164",66,"A man","Completed technical, community college, CEGEP, College Classique","Conservative Party"
"165",76,"A man","Bachelor's degree","Conservative Party"
"166",70,"A man","Bachelor's degree","Green Party"
"167",70,"A man","Bachelor's degree","Conservative Party"
"168",45,"A man","Master's degree","Liberal Party"
"169",55,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"170",50,"A man","Completed secondary/ high school","Conservative Party"
"171",54,"A woman","Completed secondary/ high school","Liberal Party"
"172",76,"A man","Bachelor's degree","Conservative Party"
"173",88,"A man","Bachelor's degree","Liberal Party"
"174",67,"A man","Professional degree or doctorate","Conservative Party"
"175",70,"A man","Master's degree","NDP"
"176",46,"A woman","Bachelor's degree","Liberal Party"
"177",72,"A man","Professional degree or doctorate","Liberal Party"
"178",53,"A man","Bachelor's degree","Green Party"
"179",48,"A man","Bachelor's degree","Conservative Party"
"180",73,"A woman","Bachelor's degree","Conservative Party"
"181",36,"A woman","Bachelor's degree","Conservative Party"
"182",46,"A woman","Master's degree","Conservative Party"
"183",60,"A woman","Some secondary/ high school","Liberal Party"
"184",70,"A man","Professional degree or doctorate","Conservative Party"
"185",42,"A woman","Completed secondary/ high school","Green Party"
"186",75,"A man","Some secondary/ high school","Conservative Party"
"187",33,"A woman","Completed secondary/ high school","Liberal Party"
"188",66,"A man","Master's degree","Liberal Party"
"189",64,"A man","Professional degree or doctorate","NDP"
"190",36,"A woman","Completed technical, community college, CEGEP, College Classique","NDP"
"191",57,"A man","Some university","Liberal Party"
"192",56,"A woman","Some secondary/ high school","NDP"
"193",72,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"194",63,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"195",39,"A woman","Master's degree","Don't know / Prefer not to answer"
"196",57,"A man","Professional degree or doctorate","Liberal Party"
"197",44,"A woman","Master's degree","Liberal Party"
"198",49,"A woman","Master's degree","Liberal Party"
"199",72,"A woman","Completed secondary/ high school","Liberal Party"
"200",34,"A woman","Bachelor's degree","People's Party"
"201",45,"A man","Bachelor's degree","Liberal Party"
"202",61,"A man","Master's degree","Conservative Party"
"203",41,"A woman","Some technical, community college, CEGEP, College Classique","NDP"
"204",52,"A woman","Completed secondary/ high school","Conservative Party"
"205",39,"A man","Professional degree or doctorate","Liberal Party"
"206",73,"A man","Completed technical, community college, CEGEP, College Classique","NDP"
"207",46,"A woman","Completed secondary/ high school","Green Party"
"208",42,"A woman","Completed secondary/ high school","Liberal Party"
"209",37,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"210",57,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"211",56,"A woman","Some university","Conservative Party"
"212",52,"A man","Completed secondary/ high school","Liberal Party"
"213",65,"A woman","Some technical, community college, CEGEP, College Classique","Don't know / Prefer not to answer"
"214",52,"A man","Completed technical, community college, CEGEP, College Classique","People's Party"
"215",50,"A woman","Some secondary/ high school","Conservative Party"
"216",55,"A woman","Bachelor's degree","Conservative Party"
"217",68,"A man","Some university","Conservative Party"
"218",83,"A man","Completed secondary/ high school","Conservative Party"
"219",76,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"220",53,"A woman","Bachelor's degree","Conservative Party"
"221",71,"A man","Some secondary/ high school","Conservative Party"
"222",53,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"223",72,"A man","Professional degree or doctorate","Liberal Party"
"224",48,"A man","Some university","Liberal Party"
"225",70,"A man","Bachelor's degree","Liberal Party"
"226",57,"A woman","Completed secondary/ high school","Liberal Party"
"227",67,"A man","Completed technical, community college, CEGEP, College Classique","NDP"
"228",65,"A woman","Bachelor's degree","Liberal Party"
"229",70,"A man","Bachelor's degree","Liberal Party"
"230",62,"A woman","Professional degree or doctorate","Don't know / Prefer not to answer"
"231",51,"A man","Don't know/ Prefer not to answer","Conservative Party"
"232",41,"A man","Bachelor's degree","Liberal Party"
"233",51,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"234",49,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"235",64,"A woman","Some university","Liberal Party"
"236",71,"A man","Bachelor's degree","Don't know / Prefer not to answer"
"237",66,"A man","Bachelor's degree","Liberal Party"
"238",50,"A man","Bachelor's degree","Liberal Party"
"239",32,"A woman","Completed secondary/ high school","Green Party"
"240",57,"A man","Some technical, community college, CEGEP, College Classique","Conservative Party"
"241",58,"A man","Master's degree","People's Party"
"242",54,"A man","Bachelor's degree","Conservative Party"
"243",47,"A man","Bachelor's degree","Liberal Party"
"244",51,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"245",64,"A man","Master's degree","Liberal Party"
"246",60,"A woman","Some university","Liberal Party"
"247",40,"A man","Professional degree or doctorate","Conservative Party"
"248",66,"A man","Bachelor's degree","Conservative Party"
"249",26,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"250",74,"A man","Bachelor's degree","Liberal Party"
"251",43,"A man","Bachelor's degree","Conservative Party"
"252",70,"A man","Completed secondary/ high school","Conservative Party"
"253",34,"A man","Professional degree or doctorate","Liberal Party"
"254",72,"A woman","Bachelor's degree","Another party (specify)"
"255",62,"A man","Some technical, community college, CEGEP, College Classique","Liberal Party"
"256",35,"A woman","Completed technical, community college, CEGEP, College Classique","Liberal Party"
"257",53,"A woman","Some technical, community college, CEGEP, College Classique","Liberal Party"
"258",34,"A woman","Completed technical, community college, CEGEP, College Classique","Green Party"
"259",60,"A woman","Bachelor's degree","Liberal Party"
"260",54,"A woman","Completed technical, community college, CEGEP, College Classique","NDP"
"261",41,"A woman","Completed secondary/ high school","Liberal Party"
"262",41,"A man","Completed secondary/ high school","Liberal Party"
"263",66,"A woman","Professional degree or doctorate","Liberal Party"
"264",58,"A woman","Some technical, community college, CEGEP, College Classique","NDP"
"265",82,"A woman","Bachelor's degree","Liberal Party"
"266",47,"A woman","Bachelor's degree","NDP"
