"","X1","age","sex","education","pes19_votechoice2019","vote_liberal","vote_conservative","vote_bloc","vote_ndp","vote_green","vote_ppc","vote_other","vote_spoil","age_cat"
"1",1,50,"Female","Below Bachelors","Another party (specify)",0,0,0,0,0,0,1,0,"[50,65)"
"2",2,72,"Female","Bachelors","NDP",0,0,0,1,0,0,0,0,"[65,Inf)"
"3",3,28,"Female","Graduate Degree","Liberal Party",1,0,0,0,0,0,0,0,"[18,30)"
"4",4,59,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"5",5,63,"Male","Graduate Degree","NDP",0,0,0,1,0,0,0,0,"[50,65)"
"6",6,29,"Female","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[18,30)"
"7",7,65,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"8",8,42,"Male","Bachelors","NDP",0,0,0,1,0,0,0,0,"[30,50)"
"9",9,32,"Male","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"10",10,37,"Male","High School","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"11",11,68,"Female","Bachelors","NDP",0,0,0,1,0,0,0,0,"[65,Inf)"
"12",12,63,"Female","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"13",13,64,"Female","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"14",14,64,"Female","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"15",15,56,"Male","Below Bachelors","I spoiled my vote",0,0,0,0,0,0,0,1,"[50,65)"
"16",16,63,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"17",17,38,"Female","Graduate Degree","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"18",18,57,"Male","Below Bachelors","Green Party",0,0,0,0,1,0,0,0,"[50,65)"
"19",19,68,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"20",20,67,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"21",21,28,"Male","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[18,30)"
"22",22,69,"Female","Below High School","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"23",23,54,"Female","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"24",24,34,"Female","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"25",25,66,"Female","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"26",26,48,"Female","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"27",28,68,"Male","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"28",29,35,"Female","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[30,50)"
"29",30,56,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"30",31,28,"Female","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[18,30)"
"31",32,50,"Male","Below Bachelors","Green Party",0,0,0,0,1,0,0,0,"[50,65)"
"32",33,74,"Male","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"33",34,54,"Female","Graduate Degree","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"34",35,63,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"35",36,67,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"36",37,72,"Male","High School","NDP",0,0,0,1,0,0,0,0,"[65,Inf)"
"37",38,60,"Female","Graduate Degree","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"38",39,81,"Male","Graduate Degree","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"39",41,63,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"40",42,99,"Female","Bachelors","Green Party",0,0,0,0,1,0,0,0,"[65,Inf)"
"41",43,81,"Male","Below High School","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"42",44,49,"Female","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
